Anomali_166,((445.0, 235.0), (573.5, 184.0))
Anomali_167,((522.5, 197.0), (449.0, 307.0))
Anomali_168,((449.0, 307.0), (508.0, 223.5))
Anomali_169,((508.0, 223.5), (384.0, 209.5))
Anomali_170,((384.0, 209.5), (151.5, 170.0))
Anomali_171,((151.5, 170.0), (389.0, 144.0))
Anomali_172,((446.5, 182.0), (288.0, 270.5))
Anomali_173,((288.0, 270.5), (176.5, 266.0))
Anomali_174,((176.5, 266.0), (111.5, 168.5))
Anomali_175,((111.5, 168.5), (518.0, 185.5))
Anomali_176,((518.0, 185.5), (731.5, 156.0))
Anomali_177,((731.5, 156.0), (366.0, 87.5))
Anomali_178,((366.0, 87.5), (292.0, 197.5))
Anomali_179,((292.0, 197.5), (420.5, 369.0))
Anomali_180,((420.5, 369.0), (596.0, 224.5))
Anomali_181,((596.0, 224.5), (811.0, 73.0))
Anomali_182,((811.0, 73.0), (716.0, 158.5))
Anomali_183,((716.0, 158.5), (388.0, 204.5))
Anomali_184,((388.0, 204.5), (323.0, 107.0))
Anomali_185,((323.0, 107.0), (659.0, 213.0))
Anomali_186,((659.0, 213.0), (549.0, 309.5))
Anomali_187,((549.0, 309.5), (463.0, 187.5))
Anomali_188,((507.0, 115.0), (262.5, 81.5))
Anomali_189,((259.5, 102.0), (520.5, 80.0))
Anomali_190,((469.5, 93.0), (550.0, 256.5))
Anomali_191,((569.5, 180.5), (420.0, 61.5))
Anomali_192,((420.0, 61.5), (548.5, 233.0))
Anomali_193,((548.5, 233.0), (390.0, 322.0))
Anomali_194,((390.0, 322.0), (171.5, 170.5))
Anomali_195,((99.0, 158.5), (206.5, 83.0))
Anomali_196,((243.0, 97.0), (445.0, 158.5))
Anomali_197,((445.0, 158.5), (685.0, 334.0))
Anomali_198,((685.0, 334.0), (659.5, 229.0))
Anomali_199,((659.5, 229.0), (524.0, 221.0))
Anomali_200,((524.0, 221.0), (281.0, 288.5))
Anomali_201,((264.5, 198.5), (453.5, 165.0))
Anomali_202,((363.5, 185.0), (616.0, 148.0))
Anomali_203,((528.5, 147.5), (185.5, 204.5))
Anomali_204,((185.5, 204.5), (73.5, 200.0))
Anomali_205,((73.5, 200.0), (397.0, 74.0))
Anomali_206,((397.0, 74.0), (720.5, 170.5))
Anomali_207,((720.5, 170.5), (500.0, 363.0))
Anomali_208,((500.0, 363.0), (366.0, 233.0))
Anomali_209,((269.5, 217.5), (373.5, 385.0))
Anomali_210,((373.5, 385.0), (502.0, 334.0))
Anomali_211,((502.0, 334.0), (561.5, 250.5))
Anomali_212,((631.0, 283.0), (265.5, 214.5))
Anomali_213,((265.5, 214.5), (384.0, 47.5))
Anomali_214,((465.5, 90.0), (355.0, 186.5))
Anomali_215,((355.0, 186.5), (305.5, 300.0))
Anomali_216,((242.5, 303.5), (614.0, 185.5))
Anomali_217,((674.5, 203.0), (649.0, 320.5))
Anomali_218,((649.0, 320.5), (801.5, 273.0))
Anomali_219,((801.5, 273.0), (643.0, 139.0))
Anomali_220,((616.0, 156.0), (793.0, 113.0))
Anomali_221,((729.5, 116.5), (329.5, 150.5))
Anomali_222,((254.5, 159.5), (345.0, 216.5))
Anomali_223,((345.0, 216.5), (233.5, 212.0))
Anomali_224,((233.5, 212.0), (531.5, 204.0))
Anomali_225,((531.5, 204.0), (839.5, 311.5))
Anomali_226,((839.5, 311.5), (765.5, 421.5))
Anomali_227,((765.5, 421.5), (414.0, 241.0))
Anomali_228,((399.0, 252.0), (615.0, 424.0))
Anomali_229,((615.0, 424.0), (675.5, 219.0))
Anomali_230,((675.5, 219.0), (409.5, 161.0))
Anomali_231,((409.5, 161.0), (214.5, 236.0))
Anomali_232,((214.5, 236.0), (298.0, 156.5))
Anomali_233,((298.0, 156.5), (513.0, 227.5))
Anomali_234,((513.0, 227.5), (427.0, 327.5))
Anomali_235,((427.0, 327.5), (29.5, 341.0))
Anomali_236,((29.5, 341.0), (399.5, 344.5))
Anomali_237,((399.5, 344.5), (613.0, 315.0))
Anomali_238,((613.0, 315.0), (477.0, 306.5))
Anomali_239,((477.0, 306.5), (329.0, 288.5))
Anomali_240,((350.5, 313.0), (587.5, 287.0))
Anomali_241,((587.5, 287.0), (476.0, 282.5))
